bug_id,domain,family,root_cause
bug_218,Pipeline/control,,"ID-stage multicycle stall is asserted only for DIV, so MUL execution is not held correctly"
bug_222,Register-file/writeback,,Register x27 writeback flips bit 0 before the value is written
bug_223,Register-file/writeback,,Register x20 writeback flips bit 0 before the value is written
bug_224,Register-file/writeback,,Register x21 writeback flips bit 0 before the value is written
bug_225,,,
bug_226,,,
bug_228,branch_jump,conditional_bge_comparator_inversion,"The signed BGE comparator condition is inverted, changing the taken/not-taken decision."
bug_229,branch_jump,conditional_bgeu_comparator_inversion,"The unsigned BGEU comparator condition is inverted, changing the taken/not-taken decision."
bug_234,,,
bug_239,alu,conditional_xor_operand_low_nibble,"Under the low-nibble trigger condition, the XOR operand path selects the wrong operand value."
bug_240,alu,conditional_or_operand_low_nibble,"Under the low-nibble trigger condition, the OR operand path selects the wrong operand value."
bug_241,decode_alu,conditional_xori_or_decode_low_bits,"Under the low-bit trigger condition, XORI is decoded as an OR operation."
bug_242,mdu,conditional_divu_signed_mode,"Under the trigger condition, the DIVU path uses the signed division mode."
bug_243,mdu,conditional_remu_div_operator,"Under the trigger condition, the REMU path selects the DIV operator instead of the remainder operator."
bug_244,branch_jump,conditional_beq_decode,"For a selected instruction-field trigger, BEQ is decoded as BNE instead of equality comparison."
bug_245,branch_jump,conditional_bne_decode,"For a selected instruction-field trigger, BNE is decoded as BEQ instead of inequality comparison."
bug_246,branch_jump,conditional_blt_decode,"For a selected instruction-field trigger, BLT is decoded as BGE instead of signed less-than comparison."
bug_247,,,
bug_249,,,
bug_253,Interrupt/exception,,中断进入时将 mstatus.MPIE 的保存逻辑错误地与 mcause 条件绑定，导致 handler 入口的 MPIE 未置 1。
bug_254,Interrupt/exception,,中断原因写回路径错误处理 mcause 的中断标志，导致标准 interrupt test 等待 mstatus CSR 写回时超时。
bug_255,,,
bug_256,,,
bug_257,,,
bug_261,,,
bug_262,,,
bug_263,,,
bug_264,,,
bug_265,,,
bug_266,,,
bug_268,,,
bug_269,,,
bug_273,Debug,,Debug entry records DBG_CAUSE_STEP instead of DBG_CAUSE_HALTREQ for an external debug request.
bug_276,Debug,,Debug entry records U-mode in dcsr.prv when the core enters debug mode from M-mode.
bug_280,ALU,,"In a selected PC region, the SRA shift operand is altered before ALU execution, producing an incorrect arithmetic-shift result."
bug_281,ALU,,"In a selected PC region, the SLTU operand is altered before ALU execution, producing an incorrect unsigned-comparison result."
bug_282,MDU,,"In a selected PC region, a DIV operation is decoded as REM, producing an incorrect quotient/result trace."
bug_283,MDU,,"In a selected PC region, a REM operation is decoded as DIV, producing an incorrect remainder/result trace."
bug_284,,,
bug_285,,,
bug_289,,,
bug_290,,,
bug_291,,,
bug_292,,,
bug_304,,,
bug_305,,,
bug_306,lsu,byte_sign_offset1_wrong_sign_bit,Signed byte-load extension uses data bit 14 instead of the sign bit at bit 15.
bug_307,lsu,byte_sign_offset2_wrong_sign_bit,Signed byte-load extension uses data bit 22 instead of the sign bit at bit 23.
bug_308,,,
bug_309,,,
bug_310,mdu,div_zero_quotient_zero,The divide-by-zero quotient path drives a zero remainder value instead of the specified all-ones quotient result.
bug_311,mdu,rem_zero_result_zero,The remainder-by-zero path drives zero instead of preserving the dividend as the specified remainder result.
bug_312,rv32c,c_slli_x10_shamt_bit0,"For compressed SLLI targeting x5, the expanded immediate shift bit is inverted."
bug_313,rv32c,c_srli_x15_shamt_bit0,"For compressed SRLI targeting x15, the expanded immediate shift bit is inverted."
bug_315,,,
bug_316,branch_jump,late_jump_target_bit2_pattern10,"For a selected jump-target pattern, target bit 2 is inverted before control flow uses the target."
bug_317,alu,pc_region_conditional_xor_operand,"In the selected PC region, the XOR operand path flips operand bit 1 before execution."
bug_318,alu,pc_region_conditional_or_operand,"In the selected PC region, the OR operand path flips operand bit 2 before execution."
bug_319,,,
bug_320,,,
